frame,mode,baseline_best_idx,scored_best_idx,baseline_iou,scored_iou,delta,sam_best_mask_png,score_best_mask_png,sequence
36,default_no_gt,5,7,0.0,0.1210935488853421,0.1210935488853421,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_sam\00036_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_score_default_no_gt\00036_best.png,lucia
37,default_no_gt,5,7,0.0,0.3908656120250171,0.3908656120250171,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_sam\00037_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_score_default_no_gt\00037_best.png,lucia
38,default_no_gt,5,1,0.0,0.916288028447254,0.916288028447254,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_sam\00038_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_score_default_no_gt\00038_best.png,lucia
39,default_no_gt,5,1,0.0,0.9072722759990072,0.9072722759990072,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_sam\00039_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_score_default_no_gt\00039_best.png,lucia
40,default_no_gt,5,1,0.0,0.8953070394408388,0.8953070394408388,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_sam\00040_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_score_default_no_gt\00040_best.png,lucia
41,default_no_gt,5,1,0.0,0.909900338948753,0.909900338948753,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_sam\00041_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_score_default_no_gt\00041_best.png,lucia
42,default_no_gt,5,8,0.0,0.0934711643090315,0.0934711643090315,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_sam\00042_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_score_default_no_gt\00042_best.png,lucia
43,default_no_gt,5,7,0.0,0.1151138488615113,0.1151138488615113,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_sam\00043_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_score_default_no_gt\00043_best.png,lucia
44,default_no_gt,5,7,0.0,0.1120591888534859,0.1120591888534859,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_sam\00044_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_score_default_no_gt\00044_best.png,lucia
45,default_no_gt,5,8,0.0,0.0935844614479105,0.0935844614479105,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_sam\00045_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\lucia\selected_by_score_default_no_gt\00045_best.png,lucia
