sequence,ablation,baseline_mean_iou,scored_mean_iou,mean_delta_vs_sam,n_frames,best_improve_frame,best_improve_delta,worst_drop_frame,worst_drop_delta,w_area,w_center,w_border,w_silhouette,q_border,t_area
breakdance,no_area,0.18334414911320054,0.40329730360298044,0.2199531544897799,84,00033,0.9669621652126884,00058,-0.9695135619816184,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3,0.25
breakdance,no_center,0.18334414911320054,0.49701289569242285,0.3136687465792222,84,00036,0.9738486582996376,00058,-0.9695135619816184,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3,0.25
breakdance,no_border,0.18334414911320054,0.9382844509819854,0.7549403018687848,84,00036,0.9738486582996376,00077,-0.014681548622121454,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3,0.25
breakdance,no_silhouette,0.18334414911320054,0.6767579912606653,0.4934138421474648,84,00027,0.970358887636227,00076,-0.9613740378392117,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3,0.25
breakdance-flare,default_full,0.9559368516139347,0.9495266079490908,-0.006410243664843911,71,00044,0.0428945877038146,00028,-0.18086339859358347,0.25,0.25,0.25,0.25,0.3,0.25
breakdance-flare,no_area,0.9559368516139347,0.9364260760456703,-0.019510775568264496,71,00044,0.0428945877038146,00040,-0.696450793093053,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3,0.25
breakdance-flare,no_center,0.9559368516139347,0.9516904351037597,-0.004246416510175023,71,00044,0.0428945877038146,00028,-0.18086339859358347,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3,0.25
breakdance-flare,no_border,0.9559368516139347,0.9566156044647909,0.0006787528508559991,71,00044,0.0428945877038146,00027,-0.09310943790504589,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3,0.25
breakdance-flare,no_silhouette,0.9559368516139347,0.9579305952079942,0.001993743594059473,71,00044,0.0428945877038146,00056,-0.006351320642089986,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3,0.25
bus,default_full,0.881698684144385,0.9100179860867726,0.028319301942387482,80,00077,0.9304397019704137,00071,-0.13282123735487816,0.25,0.25,0.25,0.25,0.3,0.25
bus,no_area,0.881698684144385,0.9232321681396419,0.04153348399525689,80,00077,0.9304397019704137,00071,-0.13282123735487816,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3,0.25
bus,no_center,0.881698684144385,0.919756234183455,0.03805755003906998,80,00077,0.9304397019704137,00071,-0.13282123735487816,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3,0.25
bus,no_border,0.881698684144385,0.9098474995880135,0.028148815443628506,80,00077,0.9304397019704137,00071,-0.13282123735487816,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3,0.25
bus,no_silhouette,0.881698684144385,0.9081026305603794,0.026403946415994313,80,00077,0.9266962437148772,00071,-0.13282123735487816,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3,0.25
camel,default_full,0.9691123919178943,0.9693583080686842,0.0002459161507899562,90,00075,0.048130873026456356,00053,-0.006755635127831172,0.25,0.25,0.25,0.25,0.3,0.25
camel,no_area,0.9691123919178943,0.7938419187737449,-0.1752704731441495,90,00029,4.8967160402813015e-05,00015,-0.9777662688415713,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3,0.25
camel,no_center,0.9691123919178943,0.9664170493671177,-0.002695342550776588,90,00078,0.02998122475958298,00074,-0.03780839726280971,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3,0.25
camel,no_border,0.9691123919178943,0.9691706266263572,5.8234708463082245e-05,90,00075,0.048130873026456356,00053,-0.006755635127831172,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3,0.25
camel,no_silhouette,0.9691123919178943,0.9699757569676564,0.0008633650497621881,90,00075,0.048130873026456356,00053,-0.006755635127831172,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3,0.25
car-roundabout,default_full,0.7626198835283433,0.9863643085201704,0.22374442499182706,75,00058,0.9893390654854959,00001,-0.001402546277557315,0.25,0.25,0.25,0.25,0.3,0.25
car-roundabout,no_area,0.7626198835283433,0.6850294979354523,-0.07759038559289105,75,00062,0.9849308833041853,00054,-0.9894562704297217,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3,0.25
car-roundabout,no_center,0.7626198835283433,0.9863331475109408,0.2237132639825975,75,00058,0.9893390654854959,00001,-0.001402546277557315,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3,0.25
car-roundabout,no_border,0.7626198835283433,0.986383017199649,0.22376313367130568,75,00058,0.9893390654854959,00010,-0.0012197147223492744,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3,0.25
car-roundabout,no_silhouette,0.7626198835283433,0.9863461521576213,0.22372626862927794,75,00058,0.9893390654854959,00052,-0.0015264559082263096,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3,0.25
car-shadow,default_full,0.316668872984592,0.9749327840248746,0.6582639110402827,40,00001,0.9833506261612335,00039,-0.014490925510622032,0.25,0.25,0.25,0.25,0.3,0.25
car-shadow,no_area,0.316668872984592,0.8050304480705949,0.48836157508600275,40,00009,0.9816356070200832,00033,-0.007261935606555858,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3,0.25
car-shadow,no_center,0.316668872984592,0.9749327840248746,0.6582639110402827,40,00001,0.9833506261612335,00039,-0.014490925510622032,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3,0.25
car-shadow,no_border,0.316668872984592,0.563274323900307,0.2466054509157149,40,00001,0.9833506261612335,00032,-0.9778541428025964,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3,0.25
car-shadow,no_silhouette,0.316668872984592,0.9752905122779243,0.6586216392933321,40,00002,0.9848914774990044,00039,-0.014490925510622032,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3,0.25
car-turn,default_full,0.9813100105418723,0.9708021158885586,-0.010507894653313511,80,00078,0.0015682764828779394,00024,-0.11227519292021426,0.25,0.25,0.25,0.25,0.3,0.25
car-turn,no_area,0.9813100105418723,0.9410144452401834,-0.04029556530168871,80,00049,0.0014644583657434929,00079,-0.2069287557688212,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3,0.25
car-turn,no_center,0.9813100105418723,0.9746062477765995,-0.006703762765272634,80,00078,0.0015682764828779394,00022,-0.10524965829501476,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3,0.25
car-turn,no_border,0.9813100105418723,0.9769044268926173,-0.004405583649254747,80,00079,0.001797940652161878,00020,-0.07304031209057171,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3,0.25
car-turn,no_silhouette,0.9813100105418723,0.9777205865180468,-0.003589424023825322,80,00078,0.0015682764828779394,00022,-0.10524965829501476,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3,0.25
cows,default_full,0.9667472072459654,0.9711297664016733,0.00438255915570781,104,00013,0.018796161396790634,00101,-0.005861554126544433,0.25,0.25,0.25,0.25,0.3,0.25
cows,no_area,0.9667472072459654,0.9624046094396754,-0.004342597806290034,104,00013,0.018796161396790634,00056,-0.8848216523707045,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3,0.25
cows,no_center,0.9667472072459654,0.9709278769186322,0.004180669672666761,104,00013,0.018796161396790634,00101,-0.005861554126544433,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3,0.25
cows,no_border,0.9667472072459654,0.9711297664016733,0.00438255915570781,104,00013,0.018796161396790634,00101,-0.005861554126544433,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3,0.25
cows,no_silhouette,0.9667472072459654,0.9712796631498948,0.00453245590392933,104,00013,0.018796161396790634,00101,-0.005861554126544433,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3,0.25
dance-jump,default_full,0.7148207385221411,0.6405913290030166,-0.07422940951912478,60,00025,0.7805190037977471,00046,-0.8301579849971349,0.25,0.25,0.25,0.25,0.3,0.25
dance-jump,no_area,0.7148207385221411,0.7143689297645209,-0.0004518087576204625,60,00025,0.7805190037977471,00007,-0.9385856297728353,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3,0.25
dance-jump,no_center,0.7148207385221411,0.604972628924821,-0.10984810959732035,60,00025,0.7805190037977471,00007,-0.9385856297728353,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3,0.25
dance-jump,no_border,0.7148207385221411,0.6035668265328487,-0.11125391198929273,60,00025,0.7805190037977471,00001,-0.9325331245832246,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3,0.25
dance-jump,no_silhouette,0.7148207385221411,0.39853139618625366,-0.3162893423358876,60,00025,0.7805190037977471,00003,-0.9135366216561944,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3,0.25
dance-twirl,default_full,0.3875035526969882,0.9095959638253277,0.5220924111283394,90,00075,0.9653837884325951,00001,-0.009655068607698492,0.25,0.25,0.25,0.25,0.3,0.25
dance-twirl,no_area,0.3875035526969882,0.8810485584265287,0.4935450057295403,90,00075,0.9653837884325951,00089,-0.5235643954163784,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3,0.25
dance-twirl,no_center,0.3875035526969882,0.7983892535327803,0.4108857008357919,90,00075,0.9653837884325951,00001,-0.009655068607698492,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3,0.25
dance-twirl,no_border,0.3875035526969882,0.9256225668199473,0.5381190141229589,90,00075,0.9653837884325951,00001,-0.009655068607698492,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3,0.25
dance-twirl,no_silhouette,0.3875035526969882,0.9270669640990697,0.5395634114020814,90,00075,0.9653837884325951,00086,-0.06879750423112962,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3,0.25
dog,default_full,0.9616181422660278,0.9626568703676804,0.0010387281016524567,60,00003,0.012205908023248835,00029,-0.0035771893200680083,0.25,0.25,0.25,0.25,0.3,0.25
dog,no_area,0.9616181422660278,0.9626697385942465,0.0010515963282186828,60,00003,0.012205908023248835,00029,-0.0035771893200680083,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3,0.25
dog,no_center,0.9616181422660278,0.9626568703676804,0.0010387281016524567,60,00003,0.012205908023248835,00029,-0.0035771893200680083,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3,0.25
dog,no_border,0.9616181422660278,0.9626568703676804,0.0010387281016524567,60,00003,0.012205908023248835,00029,-0.0035771893200680083,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3,0.25
