sequence,ablation,baseline_mean_iou,scored_mean_iou,mean_delta_vs_sam,n_frames,best_improve_frame,best_improve_delta,worst_drop_frame,worst_drop_delta,w_area,w_center,w_border,w_silhouette,q_border,t_area
boat,default_full,0.8144201155584574,0.7898806114306687,-0.02453950412778855,75,00001,0.0,00025,-0.0723901825962836,0.25,0.25,0.25,0.25,0.4,0.3
boat,no_area,0.8144201155584574,0.7908879595445821,-0.023532156013875212,75,00005,0.055925299156209585,00025,-0.0723901825962836,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3
boat,no_center,0.8144201155584574,0.7901422888891659,-0.024277826669291337,75,00041,0.01962580938729097,00025,-0.0723901825962836,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.4,0.3
boat,no_border,0.8144201155584574,0.7898806114306687,-0.02453950412778855,75,00001,0.0,00025,-0.0723901825962836,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.4,0.3
boat,no_silhouette,0.8144201155584574,0.7901135985801949,-0.02430651697826233,75,00001,0.0,00025,-0.0723901825962836,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.4,0.3
breakdance,default_full,0.18334414911320054,0.7194051250147159,0.5360609759015152,84,00036,0.9738486582996376,00058,-0.9695135619816184,0.25,0.25,0.25,0.25,0.4,0.3
breakdance,no_area,0.18334414911320054,0.4084340710030682,0.22508992188986762,84,00036,0.9738486582996376,00058,-0.9695135619816184,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3
breakdance,no_center,0.18334414911320054,0.4287710933484569,0.24542694423525643,84,00036,0.9738486582996376,00058,-0.9695135619816184,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.4,0.3
breakdance,no_border,0.18334414911320054,0.9382844509819854,0.7549403018687848,84,00036,0.9738486582996376,00077,-0.014681548622121454,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.4,0.3
breakdance,no_silhouette,0.18334414911320054,0.6752844559876868,0.49194030687448614,84,00036,0.9738486582996376,00077,-0.960623442330091,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.4,0.3
breakdance-flare,default_full,0.9559368516139347,0.9496047756450247,-0.006332075968909956,71,00044,0.0428945877038146,00028,-0.18086339859358347,0.25,0.25,0.25,0.25,0.4,0.3
breakdance-flare,no_area,0.9559368516139347,0.936352338212004,-0.0195845134019308,71,00044,0.0428945877038146,00040,-0.696450793093053,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3
breakdance-flare,no_center,0.9559368516139347,0.9517406762681553,-0.004196175345779433,71,00044,0.0428945877038146,00028,-0.18086339859358347,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.4,0.3
breakdance-flare,no_border,0.9559368516139347,0.9566156044647909,0.0006787528508559991,71,00044,0.0428945877038146,00027,-0.09310943790504589,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.4,0.3
breakdance-flare,no_silhouette,0.9559368516139347,0.9582291005920947,0.002292248978159923,71,00044,0.0428945877038146,00056,-0.006351320642089986,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.4,0.3
bus,default_full,0.881698684144385,0.9100991561426062,0.028400471998221117,80,00077,0.9304397019704137,00071,-0.13282123735487816,0.25,0.25,0.25,0.25,0.4,0.3
bus,no_area,0.881698684144385,0.9231644914880613,0.04146580734367621,80,00077,0.9304397019704137,00071,-0.13282123735487816,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3
bus,no_center,0.881698684144385,0.919673608546411,0.03797492440202592,80,00077,0.9304397019704137,00071,-0.13282123735487816,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.4,0.3
bus,no_border,0.881698684144385,0.9098474995880135,0.028148815443628506,80,00077,0.9304397019704137,00071,-0.13282123735487816,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.4,0.3
bus,no_silhouette,0.881698684144385,0.9080823940249065,0.026383709880521432,80,00077,0.9266962437148772,00071,-0.13282123735487816,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.4,0.3
camel,default_full,0.9691123919178943,0.9683794613571929,-0.0007329305607013294,90,00075,0.048130873026456356,00074,-0.03780839726280971,0.25,0.25,0.25,0.25,0.4,0.3
camel,no_area,0.9691123919178943,0.8476533916120192,-0.12145900030587499,90,00029,4.8967160402813015e-05,00015,-0.9777662688415713,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3
camel,no_center,0.9691123919178943,0.9662214386148368,-0.002890953303057547,90,00078,0.02998122475958298,00074,-0.03780839726280971,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.4,0.3
