sequence,setting_default,baseline_mean_iou_default,scored_mean_iou_default,mean_delta_vs_sam_default,n_frames_default,best_improve_frame_default,best_improve_delta_default,worst_drop_frame_default,worst_drop_delta_default,setting_optimized,baseline_mean_iou_optimized,scored_mean_iou_optimized,mean_delta_vs_sam_optimized,n_frames_optimized,best_improve_frame_optimized,best_improve_delta_optimized,worst_drop_frame_optimized,worst_drop_delta_optimized,optimized_gain_over_default
drift-chicane,default_no_gt,0.5583224393560866,0.8692124946958815,0.31089005533979486,52,00008,0.9345430978613092,00022,-0.02917449304748143,optimized,0.5583224393560866,0.9006388426932077,0.3423164033371211,52,00008,0.9345430978613092,00036,-0.11583886852076264,0.03142634799732624
drift-straight,default_no_gt,0.5257067553920508,0.24103903014972514,-0.28466772524232564,50,00019,0.36995249406175773,00026,-0.9841088642458505,optimized,0.5257067553920508,0.6828598549002056,0.15715309950815481,50,00017,0.9758889430102289,00024,-0.9833526337704247,0.44182082475048046
drift-turn,default_no_gt,0.36528443080719775,0.48901936438844684,0.1237349335812491,64,00041,0.9742924004577832,00059,-0.3606493173877917,optimized,0.36528443080719775,0.6706402739130572,0.3053558431058595,64,00000,0.972628377588022,00045,-0.41677395134518636,0.1816209095246104
elephant,default_no_gt,0.9647892339167464,0.9634170844313719,-0.001372149485374563,80,00012,0.018145573203235066,00055,-0.01872514880033327,optimized,0.9647892339167464,0.9381951973035989,-0.02659403661314752,80,00014,0.003329763658484919,00007,-0.4855951008992522,-0.025221887127772957
flamingo,default_no_gt,0.04794744714123153,0.911230620455887,0.8632831733146554,80,00005,0.9689596952249016,00075,-0.011363578950911002,optimized,0.04794744714123153,0.9540707448732333,0.9061232977320017,80,00005,0.9689977100581293,00073,-0.0029029188599239975,0.042840124417346304
goat,default_no_gt,0.9217250088145996,0.9258632397081358,0.0041382308935361545,90,00023,0.024942407405462386,00083,-0.011785293734542734,optimized,0.9217250088145996,0.9158239312288775,-0.005901077585722114,90,00023,0.024942407405462386,00001,-0.4809802673877849,-0.010039308479258269
hike,default_no_gt,0.8968661560700536,0.767834659723374,-0.12903149634667965,80,00035,0.960821178739738,00048,-0.9647369345283717,optimized,0.8968661560700536,0.9601258957555003,0.06325973968544674,80,00035,0.960821178739738,00075,-0.0018932497283726812,0.1922912360321264
hockey,default_no_gt,0.06340712066595744,0.11803197117116189,0.05462485050520445,75,00074,0.40673376278423135,00006,-0.00953974059704904,optimized,0.06340712066595744,0.12201096695830091,0.05860384629234347,75,00074,0.40673376278423135,00059,-0.004865722954727564,0.00397899578713902
horsejump-high,default_no_gt,0.61485611115469,0.7153183733627638,0.10046226220807386,50,00036,0.5712615880718053,00001,-0.4975248545593264,optimized,0.61485611115469,0.7383951009763582,0.12353898982166822,50,00036,0.5712615880718053,00042,0.0016748903799945758,0.02307672761359436
horsejump-low,default_no_gt,0.7110029417267086,0.7307337308432047,0.01973078911649606,60,00033,0.5540519649354703,00059,-0.04263055797343185,optimized,0.7110029417267086,0.7290106130136306,0.018007671286921934,60,00033,0.5540519649354703,00024,-0.07755019566514931,-0.0017231178295741278
kite-surf,default_no_gt,0.35101505684722817,0.2597670555914036,-0.09124800125582455,50,00037,0.21735585323238207,00046,-0.7451086956521739,optimized,0.35101505684722817,0.2830515966232045,-0.06796346022402366,50,00037,0.23043315441268256,00046,-0.7451086956521739,0.023284541031800887
kite-walk,default_no_gt,0.387476155969621,0.33078458758577695,-0.05669156838384404,80,00079,0.41302387897071746,00026,-0.42559896093356675,optimized,0.387476155969621,0.4482559649480253,0.06077980897840429,80,00049,0.5875322936643198,00001,-0.1874255403191265,0.11747137736224833
libby,default_no_gt,0.838808586022113,0.8873137550285317,0.04850516900641877,49,00037,0.831465579973803,00031,-0.06622320896044653,optimized,0.838808586022113,0.6948008718055143,-0.14400771421659864,49,00037,0.8500283768444948,00003,-0.807573605941469,-0.1925128832230174
lucia,default_no_gt,0.1585896791718402,0.5076605405009348,0.3490708613290946,70,00046,0.959226455636497,00063,-0.7246697364563385,optimized,0.1585896791718402,0.871400364028041,0.7128106848562008,70,00062,0.9646980256385098,00001,0.0,0.3637398235271062
mallard-fly,default_no_gt,0.8742370588384356,0.871859457584743,-0.002377601253692574,70,00069,0.6974461597103107,00055,-0.42265284467370356,optimized,0.8742370588384356,0.8749377512100632,0.0007006923716276203,70,00069,0.6974461597103107,00037,-0.4046010697478065,0.0030782936253201942
